,precision,recall,f1-score,support
NPDR,0.40425531914893614,0.9743589743589743,0.5714285714285714,39.0
PDR,0.8888888888888888,0.125,0.2191780821917808,64.0
accuracy,0.44660194174757284,0.44660194174757284,0.44660194174757284,0.44660194174757284
macro avg,0.6465721040189125,0.5496794871794872,0.3953033268101761,103.0
weighted avg,0.7053868576281301,0.44660194174757284,0.3525544810290122,103.0
