,precision,recall,f1-score,support
NPDR,0.3786407766990291,1.0,0.5492957746478873,39.0
PDR,0.0,0.0,0.0,64.0
accuracy,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.3786407766990291
macro avg,0.18932038834951456,0.5,0.27464788732394363,103.0
weighted avg,0.14336883777924403,0.3786407766990291,0.2079857787501709,103.0
