,precision,recall,f1-score,support
NPDR,0.4,0.9743589743589743,0.5671641791044776,39.0
PDR,0.875,0.109375,0.19444444444444445,64.0
accuracy,0.4368932038834951,0.4368932038834951,0.4368932038834951,0.4368932038834951
macro avg,0.6375,0.5418669871794872,0.380804311774461,103.0
weighted avg,0.6951456310679611,0.4368932038834951,0.33557133426717545,103.0
