,precision,recall,f1-score,support
NPDR,0.5428571428571428,0.48717948717948717,0.5135135135135135,39.0
PDR,0.7058823529411765,0.75,0.7272727272727272,64.0
accuracy,0.6504854368932039,0.6504854368932039,0.6504854368932039,0.6504854368932039
macro avg,0.6243697478991597,0.6185897435897436,0.6203931203931203,103.0
weighted avg,0.6441543607734356,0.6504854368932039,0.6463347725483647,103.0
