,precision,recall,f1-score,support
NPDR,0.5625,0.6923076923076923,0.6206896551724138,39.0
PDR,0.7818181818181819,0.671875,0.7226890756302521,64.0
accuracy,0.6796116504854369,0.6796116504854369,0.6796116504854369,0.6796116504854369
macro avg,0.6721590909090909,0.6820913461538461,0.671689365401333,103.0
weighted avg,0.6987753751103265,0.6796116504854369,0.6840679358452453,103.0
