,precision,recall,f1-score,support
NPDR,0.125,0.05128205128205128,0.07272727272727274,39.0
PDR,0.5747126436781609,0.78125,0.6622516556291391,64.0
accuracy,0.5048543689320388,0.5048543689320388,0.5048543689320388,0.5048543689320388
macro avg,0.34985632183908044,0.41626602564102566,0.36748946417820594,103.0
weighted avg,0.4044330989844883,0.5048543689320388,0.4390336854041606,103.0
