,precision,recall,f1-score,support
NPDR,0.0,0.0,0.0,39.0
PDR,0.6213592233009708,1.0,0.7664670658682634,64.0
accuracy,0.6213592233009708,0.6213592233009708,0.6213592233009708,0.6213592233009708
macro avg,0.3106796116504854,0.5,0.3832335329341317,103.0
weighted avg,0.3860872843811857,0.6213592233009708,0.47625138073367823,103.0
