,precision,recall,f1-score,support
NPDR,0.6153846153846154,0.6153846153846154,0.6153846153846154,39.0
PDR,0.765625,0.765625,0.765625,64.0
accuracy,0.7087378640776699,0.7087378640776699,0.7087378640776699,0.7087378640776699
macro avg,0.6905048076923077,0.6905048076923077,0.6905048076923077,103.0
weighted avg,0.7087378640776699,0.7087378640776699,0.7087378640776699,103.0
