,precision,recall,f1-score,support
NPDR,0.5714285714285714,0.6153846153846154,0.5925925925925927,39.0
PDR,0.7540983606557377,0.71875,0.7359999999999999,64.0
accuracy,0.6796116504854369,0.6796116504854369,0.6796116504854369,0.6796116504854369
macro avg,0.6627634660421545,0.6670673076923077,0.6642962962962963,103.0
weighted avg,0.6849321297833154,0.6796116504854369,0.681700107874865,103.0
