,precision,recall,f1-score,support
NPDR,0.6046511627906976,0.6666666666666666,0.6341463414634145,39.0
PDR,0.7833333333333333,0.734375,0.7580645161290323,64.0
accuracy,0.7087378640776699,0.7087378640776699,0.7087378640776699,0.7087378640776699
macro avg,0.6939922480620155,0.7005208333333333,0.6961054287962234,103.0
weighted avg,0.7156769774968014,0.7087378640776699,0.7111440422265168,103.0
