,precision,recall,f1-score,support
NPDR,0.6,0.46153846153846156,0.5217391304347826,39.0
PDR,0.7123287671232876,0.8125,0.7591240875912408,64.0
accuracy,0.6796116504854369,0.6796116504854369,0.6796116504854369,0.6796116504854369
macro avg,0.6561643835616437,0.6370192307692308,0.6404316090130118,103.0
weighted avg,0.6697965154940816,0.6796116504854369,0.6692404630368537,103.0
