,precision,recall,f1-score,support
NPDR,0.5925925925925926,0.41025641025641024,0.4848484848484849,39.0
PDR,0.6973684210526315,0.828125,0.7571428571428572,64.0
accuracy,0.6699029126213593,0.6699029126213593,0.6699029126213593,0.6699029126213593
macro avg,0.644980506822612,0.6191907051282051,0.6209956709956711,103.0
weighted avg,0.6576960199852381,0.6699029126213593,0.6540411045265415,103.0
