,precision,recall,f1-score,support
NPDR,0.5094339622641509,0.6923076923076923,0.5869565217391305,39.0
PDR,0.76,0.59375,0.6666666666666666,64.0
accuracy,0.6310679611650486,0.6310679611650486,0.6310679611650486,0.6310679611650486
macro avg,0.6347169811320754,0.6430288461538461,0.6268115942028986,103.0
weighted avg,0.6651254808572998,0.6310679611650486,0.6364851554805121,103.0
